epoch=1 train_loss=4664.825467 val_loss=1063.337400
epoch=2 train_loss=1518.190401 val_loss=779.771780
epoch=3 train_loss=1061.602832 val_loss=1780.448792
epoch=4 train_loss=788.413730 val_loss=209.357217
epoch=5 train_loss=514.207042 val_loss=297.800289
epoch=6 train_loss=394.410871 val_loss=420.089518
epoch=7 train_loss=382.054870 val_loss=309.905306
epoch=8 train_loss=728.300732 val_loss=211.233079
epoch=9 train_loss=219.360592 val_loss=132.424691
epoch=10 train_loss=198.967038 val_loss=94.974856
epoch=11 train_loss=137.798858 val_loss=81.324258
epoch=12 train_loss=157.743433 val_loss=93.658501
epoch=13 train_loss=111.354257 val_loss=64.370592
epoch=14 train_loss=120.750473 val_loss=93.480325
epoch=15 train_loss=108.214221 val_loss=75.446973
epoch=16 train_loss=124.618334 val_loss=79.598854
epoch=17 train_loss=103.964259 val_loss=59.036280
epoch=18 train_loss=94.493773 val_loss=71.555184
epoch=19 train_loss=89.044385 val_loss=81.803665
epoch=20 train_loss=131.659865 val_loss=63.183963
epoch=21 train_loss=82.616999 val_loss=42.549554
epoch=22 train_loss=80.030862 val_loss=55.027909
epoch=23 train_loss=69.788865 val_loss=50.452207
epoch=24 train_loss=93.304852 val_loss=47.635524
epoch=25 train_loss=65.238610 val_loss=38.551317
epoch=26 train_loss=69.807106 val_loss=44.431903
epoch=27 train_loss=61.113457 val_loss=49.925386
epoch=28 train_loss=84.466511 val_loss=43.456834
epoch=29 train_loss=58.712714 val_loss=40.821870
epoch=30 train_loss=52.033999 val_loss=41.865419
epoch=31 train_loss=49.105438 val_loss=39.216779
epoch=32 train_loss=108.959733 val_loss=43.928815
epoch=33 train_loss=72.750359 val_loss=46.791592
epoch=34 train_loss=45.599772 val_loss=28.030031
epoch=35 train_loss=62.805044 val_loss=40.490331
epoch=36 train_loss=57.931270 val_loss=43.422393
epoch=37 train_loss=824.425009 val_loss=39.190083
epoch=38 train_loss=55.620281 val_loss=33.679810
epoch=39 train_loss=45.578801 val_loss=31.477292
epoch=40 train_loss=45.384536 val_loss=41.761231
epoch=41 train_loss=182.689356 val_loss=32.721693
epoch=42 train_loss=47.007348 val_loss=28.480080
epoch=43 train_loss=43.571172 val_loss=29.476243
epoch=44 train_loss=43.007741 val_loss=26.521851
epoch=45 train_loss=73.460854 val_loss=32.559554
epoch=46 train_loss=46.250773 val_loss=36.088803
epoch=47 train_loss=52.276679 val_loss=28.751348
epoch=48 train_loss=52.453667 val_loss=32.776448
epoch=49 train_loss=44.261062 val_loss=28.741127
epoch=50 train_loss=62.876579 val_loss=41.178147
